# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
    0     30     31      -      0      0      0      0      0      0    405    180 
